latitude,longitude,altitude,timestamp,speed
37.7749,-122.4194,100,2024-01-01 12:00:00,5.5
37.7750,-122.4195,105,2024-01-01 12:01:00,6.0
37.7751,-122.4196,110,2024-01-01 12:02:00,5.8
37.7752,-122.4197,115,2024-01-01 12:03:00,6.2
37.7753,-122.4198,120,2024-01-01 12:04:00,5.9
37.7754,-122.4199,125,2024-01-01 12:05:00,6.1
37.7755,-122.4200,130,2024-01-01 12:06:00,5.7
37.7756,-122.4201,135,2024-01-01 12:07:00,6.3
37.7757,-122.4202,140,2024-01-01 12:08:00,6.0
37.7758,-122.4203,145,2024-01-01 12:09:00,5.8
